cvm_code,trade_name,b3_trade_name,b3_issuer_code,b3_segment,b3_sector,available_years
21636,Renova Energia,RENOVA,RNEW,Energia Elétrica,Utilidade Pública,14
21644,PDG SECURIT,PDG SECURIT,PDGS,Securitizadoras de Recebíveis,Financeiro,14
21733,Cielo,CIELO,CIEL,Serviços Financeiros Diversos,Financeiro,14
21741,ECO SEC AGRO,ECO SEC AGRO,ECOA,Securitizadoras de Recebíveis,Financeiro,12
21881,Fleury,FLEURY,FLRY,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",Saúde,14
21903,ECON,ECON,,Exploração de Rodovias,Bens Industriais,14
22012,Mills,MILLS,MILS,Máquinas e Equipamentos Industriais,Bens Industriais,14
22020,JSL,JSL,JSLG,Transporte Rodoviário,Bens Industriais,14
22055,Lojas Marisa,LOJAS MARISA,AMAR,"Tecidos, Vestuário e Calçados",Consumo Cíclico,14
22071,RT BANDEIRAS,RT BANDEIRAS,,Exploração de Rodovias,Bens Industriais,14
22160,POLO CAP SEC,POLO CAP SEC,PLSC,Securitizadoras de Recebíveis,Financeiro,12
22179,Afluente T,AFLUENTE T,AFLT,Energia Elétrica,Utilidade Pública,14
22187,PetroRio,PETRORIO,PRIO,"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis",14
22217,Alper,ALPER S.A.,APER,Corretoras de Seguros e Resseguros,Financeiro,14
22250,OURINVESTSEC,OURINVESTSEC,,Não Classificados,Não Classificados,13
22268,CONC RAPOSO,CONC RAPOSO,,Exploração de Rodovias,Bens Industriais,14
22276,TRUESEC,TRUESEC,APCS,Securitizadoras de Recebíveis,Financeiro,12
22349,Arezzo,AREZZO CO,ARZZ,"Tecidos, Vestuário e Calçados",Consumo Cíclico,14
22357,Allos,ALLOS,ALOS,Exploração de Imóveis,Financeiro,14
22365,Enauta,ENAUTA PART,ENAT,"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis",14
22390,OCTANTE SEC,OCTANTE SEC,,Securitizadoras de Recebíveis,Financeiro,12
22411,ECOPISTAS,ECOPISTAS,,Exploração de Rodovias,Bens Industriais,14
22454,Time For Fun,TIME FOR FUN,SHOW,Produção de Eventos e Shows,Consumo Cíclico,14
22470,Magazine Luiza,MAGAZ LUIZA,MGLU,Eletrodomésticos,Consumo Cíclico,14
22497,Qualicorp,QUALICORP,QUAL,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",Saúde,14
22519,Technos,TECHNOS,TECN,Acessórios,Consumo Cíclico,14
22594,STATKRAFT,STATKRAFT,STKF,Energia Elétrica,Utilidade Pública,14
22608,Pague Menos,PAGUE MENOS,PGMN,Medicamentos e Outros Produtos,Saúde,14
22616,Banco BTG Pactual,BTGP BANCO,BPAC,Bancos,Financeiro,14
22633,CACHOEIRA,CACHOEIRA,,Energia Elétrica,Utilidade Pública,0
22675,Hidrovias do Brasil,HIDROVIAS,HBSA,Transporte Hidroviário,Bens Industriais,14
22683,CACHOEIRA,CACHOEIRA,,Energia Elétrica,Utilidade Pública,14
22691,Locamerica,LOCAMERICA,LCAM,Aluguel de Carros,Consumo Cíclico,14
22721,ROD TIETE,ROD TIETE,RDVT,Exploração de Rodovias,Bens Industriais,14
22764,GAIA AGRO,GAIA AGRO,GAFL,Securitizadoras de Recebíveis,Financeiro,11
22780,Unicasa,UNICASA,UCAS,Móveis,Consumo Cíclico,13
22845,Biosev,BIOSEV,BSEV,Açucar e Álcool,Consumo não Cíclico,9
22942,MGI PARTICIP,MGI PARTICIP,,Outros,Outros,10
